word,definition,English translation,lesson,tags
quatre-vingt-douze,,ninety-two,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
quatre-vingt-huit,,eighty-eight,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
quatre-vingt-neuf,,eighty-nine,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
quatre-vingt-onze,,ninety-one,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
quatre-vingt-quatorze,,ninety-four,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
quatre-vingt-quatre,,eighty-four,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
quatre-vingt-quinze,,ninety-five,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
quatre-vingts,,eighty,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
quatre-vingt-seize,,ninety-six,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
quatre-vingt-sept,,eighty-seven,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
quatre-vingt-six,,eighty-six,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
quatre-vingt-treize,,ninety-three,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
quatre-vingt-trois,,eighty-three,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
quatre-vingt-un,,eighty-one,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
que,,"that, which",Leçon_13B,Espaces;Unité_13;Leçon_13B;L'avenir et les métiers;Pronoms relatifs;pronoun
que?/qu'…?,,what?,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Les questions;interrogative
québécois,,from Quebec (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
québécoise,,from Quebec (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
Quel jour sommes-nous?,,What day is it?,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;phrase
Quel temps fait-il?,,What is the weather like?,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
quel?,,"which?; what?, (m. sing.)",Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Les questions;interrogative
Quelle est la date?,,What's the date?,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;phrase"
Quelle température fait-il?,,What is the temperature?,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Le temps qu’il fait;phrase
quelle?,,"which?; what?, (f. sing.)",Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Les questions;interrogative
quelles?,,"which?; what?, (f. pl.)",Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Les questions;interrogative
quelqu’un,,someone,Leçon_12A,Espaces;Unité_12;Leçon_12A;En ville;La négation;noun
quelque chose,,something; anything,Leçon_4B; Leçon_12A,Espaces;Unité_4;Leçon_4B;Au café;Expressions de quantité;adverb;Unité_12;Leçon_12A;En ville;La négation;noun
quelques,,something,Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;Expressions de quantité;adjective
quels?,,"which?; what?, (m. pl.)",Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Les questions;interrogative
Qui est à l’appareil?,,Who’s calling please?,Leçon_13A,Espaces;Unité_13;Leçon_13A;L'avenir et les métiers;Au téléphone;phrase
Qui est-ce?,,Who is it?,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Identifier;phrase
qui(?),,"who, that, which; who?; whom?",Leçon_13B; Leçon_4A,Espaces;Unité_13;Leçon_13B;L'avenir et les métiers;Pronoms relatifs;pronoun;Unité_4;Leçon_4A;Au café;Les questions;interrogative
quinze,,fifteen,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Numbers 0-60;adjective
quitter la maison,,to leave the house,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Activités;phrase
Quoi?,,What?,Leçon_1A; Leçon_4A,Espaces;Unité_1;Leçon_1A;Salut!;Identifier;interrogative;Unité_4;Leçon_4A;Au café;Les questions
raccrocher,,to hang up,Leçon_13A,Espaces;Unité_13;Leçon_13A;L'avenir et les métiers;Au téléphone;verb
raide,,straight,Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs;adjective
ranger,,to tidy up; to put away,Leçon_8B,Espaces;Unité_8;Leçon_8B;Chez nous;Les tâches ménagères;verb
rapide,,fast,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs descriptifs;adjective
rarement,,rarely ,Leçon_5A,Espaces;Unité_5;Leçon_5A;Les loisirs;La fréquence;adverb
réagir,,to react,Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;Verbes réguliers en -ir;verb
récent,,recent (m.),Leçon_15B,Espaces;Unité_15;Leçon_15B;Les arts;adverb
récente,,recent (f.),Leçon_15B,Espaces;Unité_15;Leçon_15B;Les arts;adverb
recevoir,,to receive,Leçon_12A,Espaces;Unité_12;Leçon_12A;En ville;Verbes;verb
recommander que...,,to recommend that…,Leçon_14B,Espaces;Unité_14;Leçon_14B;L'espace vert;Verbes de volonté;phrase
reconnaître,,to recognize,Leçon_8B,Espaces;Unité_8;Leçon_8B;Chez nous;Verbes;verb
recycler,,to recycle,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;verb
réduire,,to reduce,Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Verbes en -re;verb
réfléchir,,to think (about),Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;Verbes réguliers en -ir;verb
réfléchir à,,to reflect (on),Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;Verbes réguliers en -ir;verb
refuser de,,to refuse to,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive;phrase
regarder,,"to look (at), to watch",Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Verbes;verb
regretter que…,,to regret that…,Leçon_14B,Espaces;Unité_14;Leçon_14B;L'espace vert;Verbs and expressions of emotion;phrase
remplir un formulaire,,to fill out a form,Leçon_12A,Espaces;Unité_12;Leçon_12A;En ville;En ville;phrase
rencontrer,,to meet,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Verbes;verb
rendre (à),,to give back; to return (to),Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Verbes en -re;verb
rendre visite (à),,to visit someone,Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Verbes en -re;phrase
rentrer,,to return,Leçon_2B; Leçon_7A,Espaces;Unité_2;Leçon_2B;À la fac;L'université;verb;Unité_7;Leçon_7A;En vacances;Verbes
rentrer (dans),,to hit,Leçon_11B,Espaces;Unité_11;Leçon_11B;La technologie;La voiture;verb
rentrer à la maison,,to return home,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;L'université;phrase
renvoyer,,"to dismiss, to let go",Leçon_13B,Espaces;Unité_13;Leçon_13B;L'avenir et les métiers;Au travail;verb
réparer,,to repair,Leçon_11B,Espaces;Unité_11;Leçon_11B;La technologie;La voiture;verb
repasser ,,to iron,Leçon_8B,Espaces;Unité_8;Leçon_8B;Chez nous;Les tâches ménagères;verb
repasser le linge,,to iron the laundry,Leçon_8B,Espaces;Unité_8;Leçon_8B;Chez nous;Les tâches ménagères;phrase
répéter,,to repeat; to rehearse,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Verbes;verb
répondre (à),,to respond; to answer (to),Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Verbes en -re;verb
réservé,,reserved (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
réservée,,reserved (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
réserver,,"to reserve, to book",Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Faire une réservation;verb
rester,,to stay,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Verbes;verb 
retenir,,"to keep, to retain",Leçon_9A,Espaces;Unité_9;Leçon_9A;La nourriture;Verbes;verb
retirer de l’argent,,to withdraw money,Leçon_12A,Espaces;Unité_12;Leçon_12A;En ville;À la banque;phrase
retourner,,to return,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Verbes;verb 
retrouver,,to meet up with; to find (again),Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Verbes;verb
réussir (à),,to succeed (in doing something); to manage to,Leçon_4B; Leçon_11A,Espaces;Unité_4;Leçon_4B;Au café;Verbes réguliers en -ir;verb;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive
revenir,,to come back,Leçon_9A,Espaces;Unité_9;Leçon_9A;La nourriture;Verbes;verb
rêver de,,to dream about/of,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive;phrase
rien,,nothing,Leçon_12A,Espaces;Unité_12;Leçon_12A;En ville;La négation;adverb
rire,,to laugh,Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Verbes en -re;verb
rose,,pink,Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les couleurs;adjective
rouge,,red,Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les couleurs;adjective
rougir,,to blush,Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;Verbes réguliers en -ir;verb
rouler en voiture,,to ride in a car,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les vacances;phrase
rousse,,red-haired (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
roux,,red-haired (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
s’adorer,,to adore one another,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
s’aider,,to help one another,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
s’aimer,,to love one another,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
s’aimer bien,,to like one another,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
s’amuser,,"to play, to have fun",Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
s’apercevoir,,to notice; to realize,Leçon_12A,Espaces;Unité_12;Leçon_12A;En ville;Verbes;verb
s’appeler,,to be called,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
s’arrêter,,to stop,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
s’asseoir,,to sit down,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
s’écrire,,to write one another,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
s’embrasser,,to kiss one another,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
s’endormir,,"to go to sleep, to fall asleep",Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;verb
s’énerver,,"to get worked up, to become upset",Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
s’ennuyer,,to get bored,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
s’entendre bien (avec),,to get along well (with/with one another),Leçon_11A; Leçon_10A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;phrase;Unité_10;Leçon_10A;La santé;Verbes pronominaux
s’habiller,,to get dressed,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;verb
S’il te plaît.,,Please. (fam.),Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Expressions de la politesse;phrase
S’il vous plaît.,,Please. (form.),Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Expressions de la politesse;phrase
s’inquiéter,,to worry,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
s’intéresser (à),,to be interested (in),Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
s’occuper (de),,"to take care of, to keep oneself busy",Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
s’orienter,,to get one’s bearings,Leçon_12B,Espaces;Unité_12;Leçon_12B;En ville;Retrouver son chemin;verb
sa,,his/her/its (f. sing.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Possessive adjectives;adjective
sain,,healthy (m.),Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;adjective
saine,,healthy (f.),Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;adjective
sale,,dirty,Leçon_8B,Espaces;Unité_8;Leçon_8B;Chez nous;Les tâches ménagères;adjective
salir,,"to soil, to make dirty",Leçon_8B,Espaces;Unité_8;Leçon_8B;Chez nous;Les tâches ménagères;verb
Salut!,,Hi!; Bye!,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Bonjour et au revoir;phrase
samedi,,Saturday,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;noun
s'amuser à,,to pass time by,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive;phrase
sans que...,,without…,Leçon_15B,Espaces;Unité_15;Leçon_15B;Les arts;Conjonctions suivies du subjonctif;phrase
sauvegarder,,to save,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;L'ordinateur;verb
sauver la planète,,to save the planet,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;phrase
savoir,,"to know (facts), to know how to do something",Leçon_8B; Leçon_11A,Espaces;Unité_8;Leçon_8B;Chez nous;Verbes;verb;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive
savoir que...,,to know that…,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Expressions de doute et de certitude;phrase
se blesser,,to hurt oneself,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;verb
se brosser les cheveux,,to brush one’s hair,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;phrase
se brosser les dents,,to brush one’s teeth,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;phrase
se casser,,to break one’s,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;verb
se casser la jambe,,to break one’s leg,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;phrase
se casser le bras,,to break one’s arm,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;phrase
se coiffer,,to do one’s hair,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;verb
se connaître,,to know one another,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
se coucher,,to go to bed,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;verb
se dépêcher,,to hurry,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
se déplacer,,to move (change location),Leçon_12B,Espaces;Unité_12;Leçon_12B;En ville;Retrouver son chemin;verb
se déshabiller,,to undress,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;verb
se détendre,,to relax,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
se dire,,to tell one another,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
se disputer (avec),,to argue (with),Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
se donner,,to give one another,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
se faire mal ,,to hurt one’s,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;phrase
se faire mal à la jambe,,to hurt one’s leg,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;phrase
se faire mal au bras,,to hurt one’s arm,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;phrase
se fouler la cheville,,to twist/sprain one's ankle,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;phrase
se garer,,to park,Leçon_11B,Espaces;Unité_11;Leçon_11B;La technologie;La voiture;verb
se laver,,to wash oneself,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;verb
se laver les mains,,to wash one’s hands,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;phrase
se lever,,"to get up, to get out of bed",Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;verb
se maquiller,,to put on makeup,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;verb
se mettre à,,to begin to,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
se mettre en colère,,to become angry,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;phrase
se parler,,to speak to one another,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
se porter mal,,to be ill,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;phrase
se porter mieux,,to be better,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;phrase
se préparer,,to get ready,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
se préparer à,,to be prepared for,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive;phrase
se promener,,to take a walk,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
se quitter,,to leave one another,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
se raser,,to shave oneself,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;verb
se regarder,,to look at oneself; to look at one another,Leçon_10A; Leçon_11A,Espaces;Unité_10;Leçon_10A;La santé;La routine;verb;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques
se rencontrer,,to meet one another (make an acquaintance),Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
se rendre compte,,to realize,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;phrase
se reposer,,to rest,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
se retrouver,,to meet one another (planned),Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
se réveiller,,to wake up,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;verb
se sécher,,to dry oneself,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;La routine;verb
se sentir,,to feel  ,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;verb
se souvenir (de),,to remember,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
se téléphoner,,to phone one another,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Verbes pronominaux réciproques;verb
se tromper,,to be mistaken,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
se trouver,,to be located,Leçon_10A,Espaces;Unité_10;Leçon_10A;La santé;Verbes pronominaux;verb
seize,,sixteen,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Numbers 0-60;adjective
sénégalais,,Senegalese (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
sénégalaise,,Senegalese (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
sentir,,to feel; to smell; to sense,Leçon_5A,Espaces;Unité_5;Leçon_5A;Les loisirs;Verbes irréguliers en –ir;verb
séparé,,separated (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Vocabulaire supplémentaire;adjective
séparée,,separated (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Vocabulaire supplémentaire;adjective
sept,,seven,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Numbers 0-60;adjective
sept cents,,seven hundred,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Numbers 101 and higher;adjective
septembre,,September,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;noun"
sérieuse,,serious (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
sérieux,,serious (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
serré,,tight (m.),Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les vêtements;adjective
serrée,,tight (f.),Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les vêtements;adjective
servir,,to serve,Leçon_5A,Espaces;Unité_5;Leçon_5A;Les loisirs;Verbes irréguliers en –ir;verb
ses,,his/her/its (pl.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Possessive adjectives;adjective
si,,yes,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Des questions et des opinions;adverb
signer,,to sign,Leçon_12A,Espaces;Unité_12;Leçon_12A;En ville;En ville;verb
sincère,,sincere,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
six,,six,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Numbers 0-60;adjective
six cents,,six hundred,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Numbers 101 and higher;adjective
skier,,to ski,Leçon_5A,Espaces;Unité_5;Leçon_5A;Les loisirs;Activités sportives et loisirs;verb
s'occuper de,,"to take care of, to see to",Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive;phrase
sociable,,sociable,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
soixante,,sixty,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Numbers 0-60;adjective
soixante et onze,,seventy-one,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante et un,,sixty-one,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-cinq,,sixty-five,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-deux,,sixty-two,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-dix,,seventy,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-dix-huit,,seventy-eight,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-dix-sept,,seventy-seven,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-douze,,seventy-two,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-huit,,sixty-eight,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-neuf,,sixty-nine,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-quatorze,,seventy-four,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-quatre,,sixty-four,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-quinze,,seventy-five,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-seize,,seventy-six,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-sept,,sixty-seven,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-six,,sixty-six,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-treize,,seventy-three,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
soixante-trois,,sixty-three,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
son,,his/her/its (m. sing.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Possessive adjectives;adjective
sonner,,to ring,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;L’électronique;verb
sortir,,"to go out, to leave",Leçon_5A; Leçon_7A,Espaces;Unité_5;Leçon_5A;Les loisirs;Verbes irréguliers en –ir;verb;Unité_7;Leçon_7A;En vacances;Verbes
sortir la poubelle,,to take out the trash (sing.),Leçon_8B,Espaces;Unité_8;Leçon_8B;Chez nous;Les tâches ménagères;phrase
sortir les poubelles,,to take out the trash (pl.),Leçon_8B,Espaces;Unité_8;Leçon_8B;Chez nous;Les tâches ménagères;phrase
soudain,,suddenly,Leçon_8B,Espaces;Unité_8;Leçon_8B;Chez nous;Expressions that signal a past tense;adverb
souffrir,,to suffer,Leçon_11B,Espaces;Unité_11;Leçon_11B;La technologie;Verbes;verb
souhaiter que...,,to wish that…,Leçon_14B,Espaces;Unité_14;Leçon_14B;L'espace vert;Verbes de volonté;phrase
sourire,,to smile,Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Verbes en -re;verb
sous,,under,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Prepositions of Location;preposition
souvent,,often,Leçon_5A; Leçon_8B,Espaces;Unité_5;Leçon_5A;Les loisirs;La fréquence;adverb;Unité_8;Leçon_8B;Chez nous;Expressions that signal a past tense
sportif,,athletic (m.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
sportive,,athletic (f.),Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs irréguliers;adjective
sud,,south,Leçon_12B,Espaces;Unité_12;Leçon_12B;En ville;Retrouver son chemin;adjective
suggérer que...,,to suggest that…,Leçon_14B,Espaces;Unité_14;Leçon_14B;L'espace vert;Verbes de volonté;phrase
suisse,,Swiss,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
Suisse,,Switzerland ,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;noun
suivre,,to follow,Leçon_12B,Espaces;Unité_12;Leçon_12B;En ville;Retrouver son chemin;verb
sur ,,on ,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Prepositions of Location;preposition
sur la place,,in the square,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Prepositions;phrase
sur la terrasse,,on the terrace,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Prepositions;phrase
surfer sur Internet,,to surf the Internet,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;L'ordinateur;phrase
surtout,,especially; above all,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Adjectifs et adverbes;adverb
sympa ,,nice,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
